날짜,시간,상품명,방송일시,노출(분)
2020-01-10,18:20,황토고구마,2020-01-10 18:20:00,60.0
2020-01-10,19:20,노비타비데,2020-01-10 19:20:00,60.0
2020-01-10,20:20,영산포 숙성 홍어회,2020-01-10 20:20:00,60.0
2020-01-10,21:20,LG통돌이세탁기,2020-01-10 21:20:00,60.0
2020-01-10,22:20,쿠쿠 압력밥솥,2020-01-10 22:20:00,60.0
2020-01-10,23:20,여행상품,2020-01-10 23:20:00,60.0
2020-01-11,00:20,삼성냉장고,2020-01-11 00:20:00,60.0
2020-01-11,01:20,어성초샴푸,2020-01-11 01:20:00,40.0
2020-01-11,02:00,어성초샴푸,2020-01-11 02:00:00,20.0
2020-01-11,02:20,강레오탕요일,2020-01-11 02:20:00,60.0
2020-01-11,03:20,공백세탁조클리너,2020-01-11 03:20:00,60.0
2020-01-11,04:20,녹십자디스크잭허리견인기,2020-01-11 04:20:00,60.0
2020-01-11,05:20,샤워기,2020-01-11 05:20:00,60.0
2020-01-11,06:20,텀블러,2020-01-11 06:20:00,60.0
2020-01-11,07:20,스튜디오럭스,2020-01-11 07:20:00,60.0
2020-01-11,08:20,니봇로봇청소기,2020-01-11 08:20:00,60.0
2020-01-11,09:20,보닌남성기초,2020-01-11 09:20:00,60.0
2020-01-11,10:20,명품잡화,2020-01-11 10:20:00,60.0
2020-01-11,11:20,제니하우스염색제,2020-01-11 11:20:00,60.0
2020-01-11,12:20,헤스티지 재킷,2020-01-11 12:20:00,60.0
2020-01-11,13:20,메주,2020-01-11 13:20:00,60.0
2020-01-11,14:20,연세두유,2020-01-11 14:20:00,60.0
2020-01-11,15:20,쿠첸전기밥솥,2020-01-11 15:20:00,60.0
2020-01-11,16:20,LA갈비,2020-01-11 16:20:00,60.0
2020-01-11,17:20,마르엘라로사티,2020-01-11 17:20:00,40.0
2020-01-11,18:00,정보방송,2020-01-11 18:00:00,20.0
2020-01-11,18:20,여행상품,2020-01-11 18:20:00,60.0
2020-01-11,19:20,램프쿡,2020-01-11 19:20:00,60.0
2020-01-11,20:20,푸마드로즈,2020-01-11 20:20:00,60.0
2020-01-11,21:20,현대해상운전자보험,2020-01-11 21:20:00,60.0
2020-01-11,22:20,LGTV,2020-01-11 22:20:00,60.0
2020-01-11,23:20,여행상품2부,2020-01-11 23:20:00,60.0
2020-01-12,00:20,선일금고,2020-01-12 00:20:00,60.0
2020-01-12,01:20,쥐포,2020-01-12 01:20:00,40.0
2020-01-12,02:00,쥐포,2020-01-12 02:00:00,20.0
2020-01-12,02:20,공백세탁조클리너,2020-01-12 02:20:00,60.0
2020-01-12,03:20,벨라홈행주티슈,2020-01-12 03:20:00,60.0
2020-01-12,04:20,뱅네프비누,2020-01-12 04:20:00,60.0
2020-01-12,05:20,녹십자디스크잭허리견인기,2020-01-12 05:20:00,60.0
2020-01-12,06:20,티포트,2020-01-12 06:20:00,60.0
2020-01-12,07:20,코치,2020-01-12 07:20:00,60.0
2020-01-12,08:20,어성초샴푸,2020-01-12 08:20:00,60.0
2020-01-12,09:20,코몽트상의,2020-01-12 09:20:00,60.0
2020-01-12,10:20,크리스티나앤코,2020-01-12 10:20:00,60.0
2020-01-12,11:20,양구시래기,2020-01-12 11:20:00,60.0
2020-01-12,12:20,브루마스,2020-01-12 12:20:00,60.0
2020-01-12,13:20,참존,2020-01-12 13:20:00,60.0
2020-01-12,14:20,LA갈비,2020-01-12 14:20:00,60.0
2020-01-12,15:20,니봇로봇청소기,2020-01-12 15:20:00,60.0
2020-01-12,16:20,고창 고구마,2020-01-12 16:20:00,60.0
2020-01-12,17:20,메주,2020-01-12 17:20:00,60.0
2020-01-12,18:20,여행상품,2020-01-12 18:20:00,60.0
2020-01-12,19:20,비버리힐스폴로 남성기초세트,2020-01-12 19:20:00,60.0
2020-01-12,20:20,쿠쿠 압력밥솥,2020-01-12 20:20:00,60.0
2020-01-12,21:20,LG냉장고,2020-01-12 21:20:00,60.0
2020-01-12,22:20,손질갑오징어,2020-01-12 22:20:00,60.0
2020-01-12,23:20,젠트웰 남성의류,2020-01-12 23:20:00,60.0
2020-01-13,00:20,루시헨느란쥬,2020-01-13 00:20:00,60.0
2020-01-13,01:20,클린샤워,2020-01-13 01:20:00,40.0
2020-01-13,02:00,엔엔에프 패션,2020-01-13 02:00:00,60.0
2020-01-13,03:00,정보방송,2020-01-13 03:00:00,20.0
2020-01-13,03:20,밸런스핏,2020-01-13 03:20:00,60.0
2020-01-13,04:20,정관장 홍삼활력,2020-01-13 04:20:00,60.0
2020-01-13,05:20,컨시크아이라이너,2020-01-13 05:20:00,60.0
2020-01-13,06:20,IH가마솥,2020-01-13 06:20:00,60.0
2020-01-13,07:20,제니하우스염색제,2020-01-13 07:20:00,60.0
2020-01-13,08:20,에트로,2020-01-13 08:20:00,60.0
2020-01-13,09:20,엔엔에프 패션,2020-01-13 09:20:00,60.0
2020-01-13,10:20,네오젠,2020-01-13 10:20:00,60.0
2020-01-13,11:20,에코라믹 후라이팬,2020-01-13 11:20:00,60.0
2020-01-13,12:20,오모떼동내의,2020-01-13 12:20:00,60.0
2020-01-13,13:20,현대해상운전자보험,2020-01-13 13:20:00,60.0
2020-01-13,14:20,참소쿠리,2020-01-13 14:20:00,60.0
2020-01-13,15:20,현대정수기,2020-01-13 15:20:00,60.0
2020-01-13,16:20,궁중손질새우,2020-01-13 16:20:00,60.0
2020-01-13,17:20,이종임갈비찜,2020-01-13 17:20:00,60.0
2020-01-13,18:20,램프쿡,2020-01-13 18:20:00,60.0
2020-01-13,19:20,푸마드로즈,2020-01-13 19:20:00,60.0
2020-01-13,20:20,쿠쿠 압력밥솥,2020-01-13 20:20:00,60.0
2020-01-13,21:20,LGTV,2020-01-13 21:20:00,60.0
2020-01-13,22:20,영산포 숙성 홍어회,2020-01-13 22:20:00,60.0
2020-01-13,23:20,헤스티지 재킷,2020-01-13 23:20:00,60.0
2020-01-14,00:20,넥센타이어,2020-01-14 00:20:00,60.0
2020-01-14,01:20,속눈썹,2020-01-14 01:20:00,40.0
2020-01-14,02:00,속눈썹,2020-01-14 02:00:00,20.0
2020-01-14,02:20,엔엔에프 패션,2020-01-14 02:20:00,60.0
2020-01-14,03:20,동양생명암보험,2020-01-14 03:20:00,60.0
2020-01-14,04:20,마르시끄속눈썹드라이기,2020-01-14 04:20:00,60.0
2020-01-14,05:20,델키생선구이오븐,2020-01-14 05:20:00,60.0
2020-01-14,06:20,스네일픽스선반,2020-01-14 06:20:00,60.0
2020-01-14,07:20,헤스티지 재킷,2020-01-14 07:20:00,60.0
2020-01-14,08:20,티포트,2020-01-14 08:20:00,60.0
2020-01-14,09:20,메디아글램,2020-01-14 09:20:00,60.0
2020-01-14,10:20,조이앤피스,2020-01-14 10:20:00,60.0
2020-01-14,11:20,대동모피,2020-01-14 11:20:00,60.0
2020-01-14,12:20,마리아꾸르끼,2020-01-14 12:20:00,60.0
2020-01-14,13:20,센스락진공포장기,2020-01-14 13:20:00,60.0
2020-01-14,14:20,한만두,2020-01-14 14:20:00,60.0
2020-01-14,15:20,어성초샴푸,2020-01-14 15:20:00,60.0
2020-01-14,16:20,도가니탕,2020-01-14 16:20:00,60.0
2020-01-14,17:20,영광 모시떡,2020-01-14 17:20:00,60.0
2020-01-14,18:20,일월매트,2020-01-14 18:20:00,60.0
2020-01-14,19:20,노비타비데,2020-01-14 19:20:00,60.0
2020-01-14,20:20,비버리힐스폴로 남성기초세트,2020-01-14 20:20:00,60.0
2020-01-14,21:20,LG냉장고,2020-01-14 21:20:00,60.0
2020-01-14,22:20,손질문어,2020-01-14 22:20:00,60.0
2020-01-14,23:20,루시헨느란쥬,2020-01-14 23:20:00,60.0
2020-01-15,00:20,뇌새김영어,2020-01-15 00:20:00,60.0
2020-01-15,01:20,실크테라피 샴푸,2020-01-15 01:20:00,40.0
2020-01-15,02:00,실크테라피 샴푸,2020-01-15 02:00:00,20.0
2020-01-15,02:20,비트젯,2020-01-15 02:20:00,60.0
2020-01-15,03:20,에어로팡팡,2020-01-15 03:20:00,60.0
2020-01-15,04:20,보스웰리아,2020-01-15 04:20:00,60.0
2020-01-15,05:20,대동모피,2020-01-15 05:20:00,60.0
2020-01-15,06:20,관절팔팔,2020-01-15 06:20:00,60.0
2020-01-15,07:20,크리스티나앤코,2020-01-15 07:20:00,60.0
2020-01-15,08:20,니봇로봇청소기,2020-01-15 08:20:00,60.0
2020-01-15,09:20,보닌남성기초,2020-01-15 09:20:00,60.0
2020-01-15,10:20,완도 활전복,2020-01-15 10:20:00,60.0
2020-01-15,11:20,이종임갈비찜,2020-01-15 11:20:00,60.0
2020-01-15,12:20,조이앤피스,2020-01-15 12:20:00,60.0
2020-01-15,13:20,참존,2020-01-15 13:20:00,60.0
2020-01-15,14:20,코치,2020-01-15 14:20:00,60.0
2020-01-15,15:20,사과배혼합,2020-01-15 15:20:00,60.0
2020-01-15,16:20,LA갈비,2020-01-15 16:20:00,60.0
2020-01-15,17:20,궁중손질새우,2020-01-15 17:20:00,60.0
2020-01-15,18:20,에지리프라이팬,2020-01-15 18:20:00,60.0
2020-01-15,19:20,푸마드로즈,2020-01-15 19:20:00,60.0
2020-01-15,20:20,현대정수기,2020-01-15 20:20:00,60.0
2020-01-15,21:20,손질갑오징어,2020-01-15 21:20:00,60.0
2020-01-15,22:20,장수흙침대,2020-01-15 22:20:00,60.0
2020-01-15,23:20,제주레드향,2020-01-15 23:20:00,60.0
2020-01-16,00:20,삼성암보험,2020-01-16 00:20:00,60.0
2020-01-16,01:20,팔레오,2020-01-16 01:20:00,40.0
2020-01-16,02:00,팔레오,2020-01-16 02:00:00,20.0
2020-01-16,02:20,실크테라피 샴푸,2020-01-16 02:20:00,60.0
2020-01-16,03:20,엘렌실라코즈미쑥클렌저,2020-01-16 03:20:00,60.0
